"","stem","positive","negative","uncertainty","litigious"
"725","ingenu",1,0,0,0
"726","inhibit",0,1,0,0
"727","inim",0,1,0,0
"728","injunct",0,1,0,1
"729","injur",0,1,0,0
"730","injuri",0,1,0,0
"731","innov",1,0,0,0
"732","inordin",0,1,0,0
"733","inquiri",0,1,0,0
"734","insecur",0,1,0,0
"735","insensit",0,1,0,0
"736","insight",1,0,0,0
"737","insofar",0,0,0,1
"738","insolv",0,1,0,0
"739","inspir",1,0,0,0
"740","instabl",0,1,1,0
"741","insubordin",0,1,0,0
"742","insuffici",0,1,0,0
"743","insurrect",0,1,0,0
"744","intang",0,0,1,0
"745","integr",1,0,0,0
"746","intent",0,1,0,0
"747","interf",0,1,0,0
"748","interfer",0,1,0,0
"749","interlocutori",0,0,0,1
"750","intermitt",0,1,0,0
"751","interplead",0,0,0,1
"752","interpos",0,0,0,1
"753","interposit",0,0,0,1
"754","interrog",0,0,0,1
"755","interrogatori",0,0,0,1
"756","interrupt",0,1,0,0
"757","intest",0,0,0,1
"758","intestaci",0,0,0,1
"759","intimid",0,1,0,0
"760","intrus",0,1,0,0
"761","invalid",0,1,0,0
"762","invent",1,0,0,0
"763","inventor",1,0,0,0
"764","investig",0,1,0,0
"765","involuntari",0,1,0,0
"766","involuntarili",0,1,0,0
"767","irreconcil",0,1,0,0
"768","irrecover",0,1,0,0
"769","irregular",0,1,0,0
"770","irregularli",0,1,0,0
"771","irrepar",0,1,0,0
"772","irrevers",0,1,0,0
"773","irrevoc",0,0,0,1
"774","jeopard",0,1,0,0
"775","joinder",0,0,0,1
"776","judici",0,0,0,1
"777","judiciari",0,0,0,1
"778","juri",0,0,0,1
"779","jurisdict",0,0,0,1
"780","jurisdiction",0,0,0,1
"781","jurisprud",0,0,0,1
"782","jurist",0,0,0,1
"783","juror",0,0,0,1
"784","juryman",0,0,0,1
"785","justic",0,0,0,1
"786","justifi",0,1,0,0
"787","kickback",0,1,0,0
"788","knowingli",0,1,0,0
"789","lack",0,1,0,0
"790","lacklust",0,1,0,0
"791","lag",0,1,0,0
"792","laps",0,1,0,0
"793","late",0,1,0,0
"794","launder",0,1,0,0
"795","law",0,0,0,1
"796","lawfulli",0,0,0,1
"797","lawmak",0,0,0,1
"798","lawsuit",0,0,0,1
"799","lawyer",0,0,0,1
"800","layoff",0,1,0,0
"801","lead",1,0,0,0
"802","leadership",1,0,0,0
"803","legal",0,0,0,1
"804","legales",0,0,0,1
"805","legate",0,0,0,1
"806","legisl",0,0,0,1
"807","legislatur",0,0,0,1
"808","libel",0,0,0,1
"809","licens",0,0,0,1
"810","lie",0,1,0,0
"811","lienhold",0,0,0,1
"812","likelihood",0,0,1,0
"813","limit",0,1,0,0
"814","linger",0,1,0,0
"815","liquid",0,1,0,0
"816","litig",0,1,0,1
"817","litigi",0,0,0,1
"818","lockout",0,1,0,0
"819","lose",0,1,0,0
"820","loss",0,1,0,0
